wheel_travel,steer_rack_dy,camber,toe,track_change,caster,valid
-0.08,-0.03,0.1168490848206844,-0.15884094751143576,0.028133268029834513,0.024802182734786262,1
-0.08,-0.015,0.11732103944718565,-0.10495429403855684,0.027735257495352883,0.024802182734786262,1
-0.08,0.0,0.11813917322674214,-0.05144300551514737,0.027157731958553644,0.024802182734786262,1
-0.08,0.015,0.11930096439303794,0.0018811539447379489,0.026403257558432647,0.024802182734786262,1
-0.08,0.03,0.1208129055571611,0.05518273845618656,0.025472793988660536,0.024802182734786262,1
-0.064,-0.03,0.09553643639668695,-0.1482781568615178,0.02440458122763256,0.02481055186427655,1
-0.064,-0.015,0.09607589857962702,-0.0944911188649868,0.023973273904585035,0.02481055186427655,1
-0.064,0.0,0.09696166966182687,-0.041045544332983026,0.023362419312064286,0.02481055186427655,1
-0.064,0.015,0.09819302073257115,0.012242735706411578,0.022574258763338517,0.02481055186427655,1
-0.064,0.03,0.09977816927925245,0.0655352628754734,0.02160948490219794,0.02481055186427655,1
-0.048,-0.03,0.07312944870508725,-0.1377401040992569,0.019884286833996012,0.024831601963327017,1
-0.048,-0.015,0.07373603162152312,-0.08408608801524665,0.019420353392008427,0.024831601963327017,1
-0.048,0.0,0.07468859648149792,-0.030741686566891663,0.01877728987871563,0.024831601963327017,1
-0.048,0.015,0.07598814557746594,0.022472635711296353,0.017957037740709003,0.024831601963327017,1
-0.048,0.03,0.07764454219399426,0.0757148242946782,0.016960051834860046,0.024831601963327017,1
-0.032,-0.03,0.04950723483694335,-0.12719119983077545,0.014546497309856132,0.024867485516868657,1
-0.032,-0.015,0.05018056606502332,-0.07370226043778776,0.014050727242642336,0.024867485516868657,1
-0.032,0.0,0.05119904569970212,-0.020493596482313567,0.013376733589376744,0.024867485516868657,1
-0.032,0.015,0.05256533065377081,0.03260907363904844,0.012526187603204897,0.024867485516868657,1
-0.032,0.03,0.0542908323229107,0.08575945500839775,0.011499340485909393,0.024867485516868657,1
-0.016,-0.03,0.024531240918591518,-0.11659351813694029,0.008359817693016414,0.024920779323818046,1
-0.016,-0.015,0.025270943487360958,-0.06330011002532132,0.007833148178052252,0.024920779323818046,1
-0.016,0.0,0.02635439823653774,-0.010260719926608479,0.007129695414345716,0.024920779323818046,1
-0.016,0.015,0.027785822613453633,0.04269300116860269,0.006250895515665045,0.024920779323818046,1
-0.016,0.03,0.029578056886443757,0.09570980802006848,0.005196835661738786,0.024920779323818046,1
0.0,-0.03,-0.0019530708519762475,-0.10590710386795825,0.0012876478596930419,0.024994793618920146,1
0.0,-0.015,-0.001147399776187658,-0.0528377764169077,0.0007312034149095092,0.024994793618920146,1
0.0,0.0,2.775557561562892e-17,-2.602085213965211e-17,0.0,0.024994793618920146,1
0.0,0.015,0.001494791940652014,0.05276789937915103,-0.000904720323631536,0.024994793618920146,1
0.0,0.03,0.0033511010216374197,0.10560894524429645,-0.0019829886590128076,0.024994793618920146,1
0.016,-0.03,-0.0301238855723042,-0.09508709169115788,-0.006713212070257102,0.025093587200116126,1
0.016,-0.015,-0.029252696689679485,-0.04226794324427286,-0.007298078431493993,0.025093587200116126,1
0.016,0.0,-0.028042502832717454,0.010337454743306407,-0.008055040097039279,0.025093587200116126,1
0.016,0.015,-0.026486332577192545,0.06288328953884625,-0.00898300131160057,0.025093587200116126,1
0.016,0.03,-0.024568948841185226,0.1155059964712298,-0.010082059054370318,0.025093587200116126,1
0.032,-0.03,-0.060184589893573184,-0.08408258186955364,-0.015692820775016658,0.025222303845266896,1
0.032,-0.015,-0.05924840641019874,-0.0315365356165808,-0.016304475626434556,0.025222303845266896,1
0.032,0.0,-0.05797672526571769,0.02080781311108014,-0.017084861560210385,0.025222303845266896,1
0.032,0.015,-0.056361432071999396,0.07309627788631218,-0.01803297419797445,0.025222303845266896,1
0.032,0.03,-0.05438638248043792,0.12545776841363088,-0.019148916888126033,0.025222303845266896,1
0.048,-0.03,-0.09237162320716051,-0.07283334189347335,-0.0257094572610177,0.025387427511640245,1
0.048,-0.015,-0.09137106763971427,-0.02057910259407216,-0.026345927415513004,0.025387427511640245,1
0.048,0.0,-0.09003940018046198,0.03147840377586946,-0.027146997021765595,0.025387427511640245,1
0.048,0.015,-0.08836755900932183,0.08347564873664531,-0.02811169060006602,0.025387427511640245,1
0.048,0.03,-0.08633873350460886,0.13553299520469142,-0.029240051017599522,0.025387427511640245,1
0.06400000000000002,-0.03,-0.12695429611655287,-0.06126770515362653,-0.03682938012637693,0.02559741265117213,1
0.06400000000000002,-0.015,-0.12589012048732834,-0.009318394403755665,-0.037488277513247015,0.02559741265117213,1
0.06400000000000002,0.0,-0.12450020592689831,0.04243039378101139,-0.038306803196257455,0.02559741265117213,1
0.06400000000000002,0.015,-0.12277477297242748,0.09410473438207899,-0.03928394055167883,0.02559741265117213,1
0.06400000000000002,0.03,-0.12069662579207396,0.1458153389262083,-0.040419597932408347,0.02559741265117213,1
0.08,-0.03,-0.16424763352115768,-0.049296178890980126,-0.049128823016990175,0.025863199246683895,1
0.08,-0.015,-0.16312075219575856,0.002342607075347881,-0.04980725988517276,0.025863199246683895,1
0.08,0.0,-0.16167461614660789,0.05376623308892933,-0.050639437842251445,0.025863199246683895,1
0.08,0.015,-0.15989899598345303,0.10508923394971094,-0.05162422194199445,0.025863199246683895,1
0.08,0.03,-0.15777663540644377,0.15641148674782304,-0.05276130547219182,0.025863199246683895,1
