t,x,y,yaw,yaw_rate,vx,vy,z_s,vz_s,pitch,roll,steer,z_u_FL,z_u_FR,z_u_RL,z_u_RR,Fz_FL,Fz_FR,Fz_RL,Fz_RR,Fx_FL,Fx_FR,Fx_RL,Fx_RR,Fy_FL,Fy_FR,Fy_RL,Fy_RR,kappa_FL,kappa_FR,kappa_RL,kappa_RR,alpha_FL,alpha_FR,alpha_RL,alpha_RR,alpha_dyn_FL,alpha_dyn_FR,alpha_dyn_RL,alpha_dyn_RR,w_FL,w_FR,w_RL,w_RR,airborne
0.33,4.95154410638155,0.0,0.0,0.0,14.964261349822916,0.0,0.381583451244653,0.0002356038879524791,-0.0008999055281327655,0.0,0.0,0.3142889886381131,0.3142889886381131,0.3158565652093919,0.3158565652093919,3456.4224996151192,3456.4224996151192,3111.5556539337795,3111.5556539337795,0.9831494224682255,0.9831494224682255,73.70505330275888,73.70505330275888,-0.0,-0.0,-0.0,-0.0,1.6894489290468203e-05,1.6894489290468203e-05,0.0013896179685544355,0.0013896179685544355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.347012616290996,45.347012616290996,45.4092604735781,45.4092604735781,False
0.34,5.101181367390751,0.0,0.0,0.0,14.963190868358744,0.0,0.38158560327982505,0.00019478021437198645,-0.000901348443633277,0.0,0.0,0.3142834070424168,0.3142834070424168,0.3158621419619022,0.3158621419619022,3457.650450668306,3457.650450668306,3110.3287683815174,3110.3287683815174,0.9830603618735482,0.9830603618735482,73.70493100081427,73.70493100081427,-0.0,-0.0,-0.0,-0.0,1.6887721611176533e-05,1.6887721611176533e-05,0.0013901021175770905,0.0013901021175770905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.34376837139558,45.34376837139558,45.40603403536533,45.40603403536533,False
0.35,5.250807924064932,0.0,0.0,0.0,14.962120481771514,0.0,0.3815873474172615,0.00015412547268423083,-0.0008999848120018314,0.0,0.0,0.31427771472814175,0.31427771472814175,0.315867665615733,0.315867665615733,3458.9027598088173,3458.9027598088173,3109.1135645387467,3109.1135645387467,0.982975737942618,0.982975737942618,73.70493126294345,73.70493126294345,-0.0,-0.0,-0.0,-0.0,1.6880931094639297e-05,1.6880931094639297e-05,0.0013905843307392828,0.0013905843307392828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.34052441301938,45.34052441301938,45.40280779414575,45.40280779414575,False
0.36,5.40042377732219,0.0,0.0,0.0,14.961050184004458,0.0,0.3815886882986926,0.00011422178003660381,-0.0008961724600995525,0.0,0.0,0.31427201317188447,0.31427201317188447,0.3158730489026194,0.3158730489026194,3460.1571021854206,3460.1571021854206,3107.9292414237325,3107.9292414237325,0.9828952938815936,0.9828952938815936,73.705038150527,73.705038150527,-0.0,-0.0,-0.0,-0.0,1.6874208536161373e-05,1.6874208536161373e-05,0.0013910566715318517,0.0013910566715318517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.337280726924796,45.337280726924796,45.399581371745576,45.399581371745576,False
0.37,5.550028928022512,0.0,0.0,0.0,14.959979969503912,0.0,0.3815896361262733,7.559817395472178e-05,-0.0008902661565447373,0.0,0.0,0.31426639220551433,0.31426639220551433,0.3158782176381553,0.3158782176381553,3461.39371478685,3461.39371478685,3106.7921196058323,3106.7921196058323,0.9828187049904743,0.9828187049904743,73.70523581769116,73.70523581769116,-0.0,-0.0,-0.0,-0.0,1.6867632363852545e-05,1.6867632363852545e-05,0.0013915123259512212,0.0013915123259512212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.33403729983699,45.33403729983699,45.39635444250745,45.39635444250745,False
0.38,5.699623376973134,0.0,0.0,0.0,14.958909833283581,0.0,0.38159020610631555,3.872576048572295e-05,-0.0008826122097098301,0.0,0.0,0.3142609299655528,0.3142609299655528,0.3158831103746879,0.3158831103746879,3462.5954075783816,3462.5954075783816,3105.715717568662,3105.715717568662,0.9827455905237424,0.9827455905237424,73.70550875768298,73.70550875768298,-0.0,-0.0,-0.0,-0.0,1.686126884870731e-05,1.686126884870731e-05,0.0013919455826891523,0.0013919455826891523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.330794119648374,45.330794119648374,45.393126732569286,45.393126732569286,False
0.39,5.849207124934477,0.0,0.0,0.0,14.957839770973004,0.0,0.3815904178516959,4.0142920547521805e-06,-0.0008735438511355117,0.0,0.0,0.3142556930333768,0.3142556930333768,0.3158876778811347,0.3158876778811347,3463.7475326571066,3463.7475326571066,3104.71086615037,3104.71086615037,0.9826755257850673,0.9826755257850673,73.70584201754606,73.70584201754606,-0.0,-0.0,-0.0,-0.0,1.6855172502312545e-05,1.6855172502312545e-05,0.0013923517975851659,0.0013923517975851659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.32755117558365,45.32755117558365,45.38989801838215,45.38989801838215,False
0.4,5.99878017262648,0.0,0.0,0.0,14.956769778850779,0.0,0.38159029475691947,-2.8189892111800316e-05,-0.0008633773853421594,0.0,0.0,0.3142507367411105,0.3142507367411105,0.3158918824801646,0.3158918824801646,3464.8379169556974,3464.8379169556974,3103.785854363794,3103.785854363794,0.982608053781681,0.982608053781681,73.70622138105435,73.70622138105435,-0.0,-0.0,-0.0,-0.0,1.684938662237058e-05,1.684938662237058e-05,0.001392727344611196,0.001392727344611196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.32430845832547,45.32430845832547,45.38666812457224,45.38666812457224,False
0.41,6.1483425207351985,0.0,0.0,0.0,14.955699853863312,0.0,0.3815898633590436,-5.760465050645589e-05,-0.0008524090767615443,0.0,0.0,0.3142461056184507,0.3142461056184507,0.3158956972715641,0.3158956972715641,3465.8567639408543,3465.8567639408543,3102.9466002559057,3102.9466002559057,0.9825426967684886,0.9825426967684886,73.70663352007439,73.70663352007439,-0.0,-0.0,-0.0,-0.0,1.684394396484997e-05,1.684394396484997e-05,0.0013930695556339954,0.0013930695556339954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.32106596010183,45.32106596010183,45.383436921251295,45.383436921251295,False
0.42,6.297894169919519,0.0,0.0,0.0,14.954629993630048,0.0,0.3815891526967099,-8.401165125406276e-05,-0.000840912735988441,0.0,0.0,0.31424183395653355,0.31424183395653355,0.3158991052688045,0.3158991052688045,3466.7965295626236,3466.7965295626236,3102.196840863015,3102.196840863015,0.9824789670392943,0.9824789670392943,73.70706611516356,73.70706611516356,-0.0,-0.0,-0.0,-0.0,1.6838867506715904e-05,1.6838867506715904e-05,0.0013933766511607642,0.0013933766511607642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.31782367473674,45.31782367473674,45.38020432087855,45.38020432087855,False
0.43,6.447435120817859,0.0,0.0,0.0,14.953560196436271,0.0,0.3815881936784511,-0.00010725492472943434,-0.0008291379606892693,0.0,0.0,0.31423794646608916,0.31423794646608916,0.3159020984738972,0.3159020984738972,3467.651777460389,3467.651777460389,3101.5383357426153,3101.5383357426153,0.9824163769722326,0.9824163769722326,73.70750794633096,73.70750794633096,-0.0,-0.0,-0.0,-0.0,1.6834171276357458e-05,1.6834171276357458e-05,0.0013936476641998618,0.0013936476641998618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.314581597666084,45.314581597666084,45.37697027477426,45.37697027477426,False
