vehicle.cg_height,tire.D_lat,scenario,peak_yaw_rate,steady_state_yaw_rate,yaw_overshoot,yaw_settling_time,peak_lateral_g
0.35,0.8,step_30deg_at_25,0.6070985132243932,0.4300419217170781,1.411719375637521,4.494999999999926,0.768821659256569
0.35,0.8,step_15deg_at_30,0.662140011270821,0.3845216677594586,1.7219836144189131,4.494999999999926,0.8414861975500375
0.35,0.95,step_30deg_at_25,0.671214407902204,0.5625560909071079,1.1931510808458001,3.209999999999943,0.9056984255053754
0.35,0.95,step_15deg_at_30,0.7292913732323661,0.3369786636945404,2.1642063780436964,4.494999999999926,0.9924476060799887
0.35,1.05,step_30deg_at_25,0.7121652549792439,0.6475482853293574,1.0997871064039972,4.494999999999926,0.995419023644177
0.35,1.05,step_15deg_at_30,0.7715254917958254,0.4094480516424633,1.8843061743752882,4.494999999999926,1.0914192983440143
0.35,1.2,step_30deg_at_25,0.8997101835158573,0.7974633162453134,1.1282151356528243,4.494999999999926,1.1275501325768742
0.35,1.2,step_15deg_at_30,0.8316897482340313,0.5728316262702461,1.451892161836859,4.494999999999926,1.2371343514922546
0.42,0.8,step_30deg_at_25,0.6084531930949145,0.4256194303097684,1.42957099644647,4.494999999999926,0.7647867751807434
0.42,0.8,step_15deg_at_30,0.6617526710454151,0.38466374147524646,1.7203406500115885,4.494999999999926,0.835876862965005
0.42,0.95,step_30deg_at_25,0.672590081320521,0.5616888369861717,1.1974424931237857,3.2299999999999427,0.8991179327214613
0.42,0.95,step_15deg_at_30,0.7279750823706825,0.3309407795096987,2.1997140498949848,4.494999999999926,0.9833220239148759
0.42,1.05,step_30deg_at_25,0.7135451636034577,0.6456071453253193,1.1052312056489162,4.494999999999926,0.9867207627804191
0.42,1.05,step_15deg_at_30,0.7694406657351323,0.40292830536655383,1.9096217751074924,4.494999999999926,1.0793632817445828
0.42,1.2,step_30deg_at_25,0.8900491868492131,0.7906086989654386,1.1257771233910006,4.494999999999926,1.1150190469354904
0.42,1.2,step_15deg_at_30,0.8282072118628614,0.5653124392711285,1.4650433182236176,4.494999999999926,1.2197747190701809
0.5,0.8,step_30deg_at_25,0.6097270125139032,0.41896294740906254,1.455324429724771,4.494999999999926,0.7593070084700235
0.5,0.8,step_15deg_at_30,0.6608779722771436,0.3825937591061519,1.727362134241664,4.494999999999926,0.8284359464692467
0.5,0.95,step_30deg_at_25,0.6737951343372437,0.5592236484404692,1.2048759672740679,3.254999999999942,0.890271560806741
0.5,0.95,step_15deg_at_30,0.7258413479279917,0.3226180398795761,2.2498473681103732,4.494999999999926,0.9713586656281668
0.5,1.05,step_30deg_at_25,0.7145814352540776,0.6420404313902373,1.1129851023661612,4.494999999999926,0.975107679390154
0.5,1.05,step_15deg_at_30,0.7662909476985943,0.3950990510043611,1.939490732135765,4.494999999999926,1.063690595985136
0.5,1.2,step_30deg_at_25,0.8747925035051031,0.7804985268417346,1.1208124979363208,4.494999999999926,1.0984727695177494
0.5,1.2,step_15deg_at_30,0.8232657463440742,0.5559672749760761,1.480780944129311,4.494999999999926,1.1975078996564452
0.58,0.8,step_30deg_at_25,0.6107255801493814,0.41057853916736237,1.4874756517666743,4.494999999999926,0.7529817678408229
0.58,0.8,step_15deg_at_30,0.6595768650755084,0.37846519279753976,1.7427675718341409,4.494999999999926,0.8200127938951837
0.58,0.95,step_30deg_at_25,0.6745734076783969,0.5550325428743835,1.2153763168280896,3.2799999999999416,0.8801814378908279
0.58,0.95,step_15deg_at_30,0.7231169246340569,0.3131899296721353,2.3088766787331125,4.494999999999926,0.9579996460403268
0.58,1.05,step_30deg_at_25,0.7151617388882402,0.6371699946989258,1.1224033536390345,4.494999999999926,0.9619714445990339
0.58,1.05,step_15deg_at_30,0.7624578036805257,0.3870311178733669,1.9700167983133465,4.494999999999926,1.0463574523639463
0.58,1.2,step_30deg_at_25,0.8553551519083925,0.7686778340082182,1.1127615680657803,4.494999999999926,1.0800154769888284
0.58,1.2,step_15deg_at_30,0.8175919908649897,0.5458891340347841,1.4977253436462294,4.494999999999926,1.1730771408695455
