wheel_travel,steer_rack_dy,camber,toe,track_change,caster,valid
-0.08,0.0,0.031687138642539366,-0.010451366386077474,-0.005494267946454134,0.0,1
-0.07,0.0,0.027678369421029334,-0.009365850949443264,-0.004669667571658209,0.0,1
-0.06,0.0,0.02368332047780319,-0.008217822094070366,-0.003884125160780516,0.0,1
-0.05,0.0,0.019701960734818266,-0.007007048942599494,-0.0031377606761106014,0.0,1
-0.04,0.0,0.015734267520770215,-0.00573324522013982,-0.0024307248960311334,0.0,1
-0.03,0.0,0.011780226524311085,-0.004396068288964501,-0.0017632000084776278,0.0,1
-0.020000000000000004,0.0,0.007839831811879071,-0.002995117965286417,-0.0011354003389377754,0.0,1
-0.009999999999999995,0.0,0.003913085915909227,-0.0015299351120091485,-0.0005475732186959181,0.0,1
0.0,0.0,-0.0,0.0,0.0,0.0,1
0.009999999999999995,0.0,-0.0038994058916206847,0.0015952695710170761,0.0005070027741576055,0.0,1
0.020000000000000004,0.0,-0.007785102492019957,0.0032565204023451274,0.0009730820368442084,0.0,1
0.03,0.0,-0.011657050867502535,0.0049844662889582045,0.0013978466905735232,0.0,1
0.039999999999999994,0.0,-0.015515201860970072,0.006779890688570278,0.001780865915963048,0.0,1
0.05,0.0,-0.019359495410698032,0.008643649682584785,0.0021216672829169614,0.0,1
0.06000000000000001,0.0,-0.02318985973095206,0.010576675246308294,0.0024197346500166583,0.0,1
0.06999999999999999,0.0,-0.027006271801367852,0.01258001174343657,0.002674509594228547,0.0,1
0.08,0.0,-0.030808566342647423,0.014654720709491757,0.0028853758844842314,0.0,1
