t,x_world,y_world,yaw_deg_carla,vx,vy,yaw_rate,ax,ay,steer,throttle,brake,Fz_FL,Fz_FR,Fz_RL,Fz_RR
0.02,-64.64484405517578,24.471010208129883,0.15919795632362366,10.0,0.0,0.0,0.0,0.0,0.10382979880205818,0.1,0.0,0.0,0.0,0.0,0.0
0.04,-64.4466323852539,24.470285415649414,0.13735154271125793,9.82093620709251,0.06862472501724363,0.0375058729683437,-9.011201694533494,3.538435069519471,0.1038287354777822,0.15371913787224703,0.0,3734.075928217213,5125.025856251825,1545.7479979733066,2661.034238347213
0.06,-64.25202941894531,24.468149185180664,0.07377798855304718,9.639313685964954,0.1260231590819904,0.0731904997012351,-9.147024801872352,3.3063435530548655,0.10382843091470775,0.2082058942105139,0.0,3794.9045678558377,5092.673674517315,1566.647763341637,2607.220107945738
0.08,-64.06092071533203,24.46464729309082,-0.0360717810690403,9.485631668583604,0.17822911229433505,0.12583475991573084,-6.255529712980447,3.550905462415534,0.10382967697650887,0.25431049942491873,0.0,3437.5045548485086,4827.173472612518,1839.4092382779163,2953.6683438141226
0.1,-63.872215270996094,24.459728240966797,-0.2148742526769638,9.402212354350423,0.21856339505717634,0.18467459682202794,-2.3690053741119983,3.238870084117767,0.10383364255904458,0.279336293694873,0.0,3075.4345347048416,4351.967650101853,2302.415021422888,3325.9600033731626
0.12,-63.684593200683594,24.453510284423828,-0.456268310546875,9.372481059875206,0.2403088722713521,0.231315208657809,-0.4200140045266679,2.9012327231652084,0.10384020245596064,0.2882556820374383,0.0,2931.8164721728426,4073.1674475817617,2567.4693331706976,3482.623080012999
0.14,-63.49725341796875,24.44611930847168,-0.736236572265625,9.370344225617275,0.25110095784538206,0.2561346513793779,-0.10399738424785783,2.7875221244038624,0.1038484813731583,0.2888967323148174,0.0,2913.5481616634356,4006.6343748831628,2629.1946344391376,3505.6489111714086
0.16,-63.30997848510742,24.4376163482666,-1.041412353515625,9.369842692115231,0.2564567249745324,0.27580522829122994,-0.08519613881980052,2.7471925413942437,0.10385790280675623,0.28904719236543064,0.0,2919.7018693726145,3996.1794969138386,2637.997835883729,3501.1350789069
0.18,-63.12275695800781,24.428014755249023,-1.3669432401657104,9.369728252886436,0.2580612253143378,0.291765289218332,-0.07378494590541664,2.7410974148852,0.10386817191514044,0.2890815241340693,0.0,2919.9136424141425,3993.443816962106,2640.4401007986735,3501.2140281472275
0.2,-62.93559265136719,24.417316436767578,-1.7089232206344604,9.369879594777741,0.25711042880056,0.3046820179477864,-0.06576697046271028,2.758527428689062,0.10387904638176569,0.28903612156667774,0.0,2915.8017577908713,3995.782871629519,2638.742062361827,3504.6884575924946
0.22,-62.74850082397461,24.4055118560791,-2.06427001953125,9.370211273729497,0.2544996784521122,0.3151127754138191,-0.06030839439373629,2.791236005176439,0.10389034321840124,0.2889366178811509,0.0,2908.9097976621356,4001.4677240816177,2634.3073722047316,3510.3380600015494
0.24,-62.56146240234375,24.392597198486328,-2.430359363555908,9.37065863801603,0.2508860038173185,0.32352153613343726,-0.0567624953983751,2.8330003162268356,0.10390189750265774,0.288802408595191,0.0,2900.4034018474576,4009.189963625716,2628.198522230184,3517.2415933996103
0.26,-62.37451171875,24.37854766845703,-2.805114984512329,9.371173884222904,0.24674150278713733,0.33029095088939275,-0.05462088350679988,2.879286263868631,0.10391362628776925,0.28864783473312894,0.0,2891.129258541345,4017.990595530722,2621.1950163582997,3524.7307358139915
0.28,-62.1876335144043,24.36334991455078,-3.186829090118408,9.371722516322794,0.2423975141225731,0.33573452475839033,-0.05349141704440797,2.926902043345148,0.10392544679598577,0.2884832451031617,0.0,2881.680689984183,4027.1896237155524,2613.8502693665405,3532.3379347141818
0.3,-62.00084686279297,24.346981048583984,-3.5741586685180664,9.372280312436793,0.2380798429694671,0.34010786302994006,-0.05307577295209748,2.9736813297675635,0.10393732357615172,0.28831590626896214,0.0,2872.457715781986,4036.321065394206,2606.544165259119,3539.7486993231914
0.32,-61.81416320800781,24.329431533813477,-3.965973138809204,9.372830823691931,0.2339363319427792,0.3436186529655271,-0.05315025733047373,3.018225480806636,0.10394921300750336,0.28815075289242065,0.0,2863.715962137572,4045.0798173021485,2599.5260499993556,3546.762773611551
0.34,-61.627586364746094,24.310672760009766,-4.361391067504883,9.373363382919875,0.23005802057012958,0.3464351998425704,-0.05354902868302306,3.059694512398973,0.10396112688040204,0.28799098512403754,0.0,2855.6062509951066,4053.2783674612397,2592.9497838590755,3553.2627362178714
0.36,-61.44112014770508,24.290700912475586,-4.759737968444824,9.373871541018408,0.2264952755050669,0.3486936600120419,-0.05415112584577586,3.0976503477337523,0.10397303633816846,0.28783853769447754,0.0,2848.2042835566417,4060.8142471484816,2586.900104425907,3559.1904651905184
0.38,-61.25478744506836,24.26949119567871,-5.160372734069824,9.374351876606182,0.22326983372235681,0.3505039910217461,-0.054869205712834455,3.1319317989294535,0.10398497185663373,0.28769443701814534,0.0,2841.5342295613136,4067.643954753151,2581.413767310562,3564.5284561529493
0.4,-61.0685920715332,24.247039794921875,-5.562899589538574,9.374803083301792,0.220383852048418,0.3519549198853404,-0.05564183198257372,3.162569096211515,0.10399692135977959,0.2875590750094624,0.0,2835.5848724236307,4073.765104900051,2576.4940175613797,3569.2870351613306
0.42,-60.88254928588867,24.223329544067383,-5.966891765594482,9.375225299038577,0.21782648729142903,0.35311794371907346,-0.05642634650349577,3.1897132864035473,0.10400891252645952,0.2874324102884268,0.0,2830.3228626735317,4079.201600243974,2572.122627318472,3573.4938800392165
0.44,-60.69666290283203,24.198354721069336,-6.372105598449707,9.375619602294528,0.21557875932268203,0.354050645023966,-0.057194431904282445,3.213592176309911,0.10402094750921682,0.28731411931164175,0.0,2825.7010037788273,4083.994363153561,2568.2674187307875,3577.187468101234
0.46,-60.51094055175781,24.172103881835938,-6.778265476226807,9.375987652799294,0.21361699105795215,0.35479934336740554,-0.057927900366710465,3.2344733469147897,0.10403304856291434,0.2872037041602118,0.0,2821.6651525576863,4088.1935047365214,2564.8886309422837,3580.411631273711
0.48,-60.32540512084961,24.144569396972656,-7.185186862945557,9.376331429431808,0.21191527772217625,0.3554012760985506,-0.058616125347889514,3.2526424489683996,0.10404523205237394,0.2871005711704576,0.0,2818.158268257014,4091.853706956215,2561.9426760649053,3583.212362756946
0.5,-60.140052795410156,24.11574935913086,-7.5927205085754395,9.376653048918447,0.21044717242794672,0.3558863477717076,-0.05925371584143743,3.2683857929586604,0.10405750125442037,0.28700408532446586,0.0,2815.1236311386556,4095.030489868457,2559.385180985044,3585.635285126835
0.52,-59.95490264892578,24.085636138916016,-8.000772476196289,9.376954642808204,0.20918681004834447,0.3562785413346199,-0.059838872943869324,3.2819794488947522,0.10406987338530481,0.28691360715753866,0.0,2812.506842173812,4097.777848430667,2557.1729167790827,3587.724081518152
0.54,-59.76995849609375,24.054227828979492,-8.40925121307373,9.377238273234608,0.2081096493034068,0.3565970770248204,-0.06037237380723482,3.2936837866851154,0.1040823540452583,0.28682851802961745,0.0,2810.2568108902315,4100.147039414378,2555.2647927137423,3589.5197248797376
0.56,-59.585243225097656,24.021520614624023,-8.818035125732422,9.37750588277069,0.207192894770553,0.3568573325962832,-0.0608565340262698,3.303738539853916,0.10409496006854026,0.2867482351687931,0.0,2808.326633320983,4102.185474224022,2553.6227661259786,3591.0597961449225
0.58,-59.4007568359375,23.98750877380371,-9.227093696594238,9.377759263430072,0.2064157315801497,0.35707160179755243,-0.06129472313218475,3.312362053877101,0.10410770406052895,0.2866722209709785,0.0,2806.6737000735184,4103.936503251444,2552.21202562534,3592.3784078743074
0.6,-59.21650695800781,23.95219612121582,-9.636366844177246,9.378000043277746,0.20575939765128176,0.3572496969386551,-0.06169081046014396,3.3197501919825623,0.10412058317116295,0.2865999870166762,0.0,2805.2598619659366,4105.439127819219,2551.0012340351086,3593.506083418536
0.62,-59.032508850097656,23.915578842163086,-10.04585075378418,9.378229685047932,0.20520714864874653,0.35739942806313485,-0.062048784587428046,3.3260764569632646,0.10413360713467162,0.2865310944856203,0.0,2804.051372121632,4106.727974026475,2549.962557675945,3594.4698116605437
0.64,-58.8487663269043,23.877655029296875,-10.455459594726562,9.378449488257873,0.20474418524319266,0.35752700768130796,-0.06237271713715516,3.3314943678890767,0.1041467899293648,0.28646515352263807,0.0,2803.0184185395738,4107.833751702712,2549.0712992335843,3595.293422672617
0.66,-58.66530227661133,23.83842658996582,-10.865220069885254,9.378660597141389,0.20435752945714963,0.3576373716793917,-0.06266655785298568,3.336138502069448,0.10416012841485325,0.28640182085758337,0.0,2802.1349008513416,4108.783432381095,2548.3057596358303,3595.997771295103
0.68,-58.482112884521484,23.797895431518555,-11.275102615356445,9.378864013971652,0.20403586037843313,0.3577344240273348,-0.06293391334877625,3.340125261572183,0.10417362287803611,0.2863407958085043,0.0,2801.378258539576,4109.60037242376,2547.647144306671,3596.6008798516286
0.7,-58.29921340942383,23.75605583190918,-11.685108184814453,9.379060610964869,0.2037693623340662,0.3578212469611937,-0.06317813374938973,3.343555547161099,0.10418728896271472,0.2862818167105393,0.0,2800.7289550214277,4110.304847767066,2547.0791326729736,3597.118350093488
0.72,-58.116615295410156,23.712915420532227,-12.095171928405762,9.379251141266385,0.20354958076644925,0.3579002776682792,-0.06340235684641037,3.346516902639086,0.1042011227087998,0.2862246576200844,0.0,2800.170061290646,4110.914479817206,2546.5875358584917,3597.563696226209
0.74,-57.93431854248047,23.668468475341797,-12.505359649658203,9.379436254297367,0.20336925008143986,0.3579734275902552,-0.06360928006959683,3.349083607577757,0.10421513003039376,0.28616912371078984,0.0,2799.6872146288306,4111.444226788972,2546.1603087587537,3597.9483831457037
0.76,-57.75234603881836,23.622724533081055,-12.915606498718262,9.379616506637534,0.20322216048144082,0.35804219709816476,-0.06380136297375066,3.3513195369278357,0.10422930540791611,0.28611504800873977,0.0,2799.268077092648,4111.906969554092,2545.7870760330547,3598.2822563667237
0.78,-57.570701599121094,23.5756778717041,-13.32591724395752,9.379792374802783,0.20310301491343183,0.35810775350243035,-0.06398070537465617,3.3532786033363036,0.10424366432121106,0.2860622875591652,0.0,2798.9022360159543,4112.313584464306,2545.45907650734,3598.5736245954677
0.8,-57.38939666748047,23.52733039855957,-13.736316680908203,9.3799642630071,0.20300732794214393,0.3581710143851361,-0.06414927335724639,3.3550074155170955,0.10425820375231624,0.28601072109787007,0.0,2798.580704358089,4112.673492492388,2545.1687180513127,3598.8296555457473
0.82,-57.20844268798828,23.477689743041992,-14.146780014038086,9.38013251505494,0.20293129818776404,0.35823268866430036,-0.06430866674334206,3.3565446494861804,0.10427291638057512,0.28596024548351784,0.0,2798.296020332354,4112.994508727659,2544.9097034367514,3599.056301236619
0.84,-57.02783966064453,23.426753997802734,-14.557330131530762,9.380297423204931,0.202871710017631,0.35829331834009986,-0.06446024484257717,3.357922763601703,0.10428780620388953,0.28591077303852064,0.0,2798.0419226747335,4113.283194714853,2544.6767451951114,3599.2585557358275
0.86,-56.84760284423828,23.374523162841797,-14.967945098876953,9.380459234073236,0.20282586014871246,0.3583533217035967,-0.06460524654875775,3.3591695284871235,0.10430288285407824,0.28586222977802933,0.0,2797.813061923036,4113.5451734806675,2544.4653104869058,3599.4406841236605
0.88,-56.66774368286133,23.32100486755371,-15.378621101379395,9.380618154562896,0.2027914866435372,0.3584130240942997,-0.06474476894553603,3.360308479323251,0.10431813645195187,0.28581455363113123,0.0,2797.6049091496925,4113.78521613036,2544.2715521997434,3599.6062962050755
0.9,-56.48826599121094,23.266199111938477,-15.78935432434082,9.38077436011336,0.20276668552212512,0.3584726660436198,-0.06487963279459533,3.361358529942932,0.1043335726921999,0.28576769196599194,0.0,2797.4138177278537,4114.007150701758,2544.0923850391,3599.758299993069
0.92,-56.30918502807617,23.21010398864746,-16.200183868408203,9.38092799759466,0.20274987063567615,0.358532432132934,-0.06501063009392931,3.3623361158256126,0.10434919463728669,0.28572160072160224,0.0,2797.236627058194,4114.214312670971,2543.9251189655715,3599.899214107012
0.94,-56.13050842285156,23.152729034423828,-16.611038208007812,9.38107918998032,0.20273972150582734,0.3585924621478636,-0.06513841793661844,3.3632548317409743,0.10436500166347001,0.2856762430059042,0.0,2797.0707228202727,4114.409461469839,2543.7675284895677,3600.031121819161
0.96,-55.95224380493164,23.09406852722168,-17.022014617919922,9.381228040534378,0.20273513821400677,0.3586528591392624,-0.06526353087139453,3.3641258409113894,0.10438099217662415,0.2856315878396867,0.0,2796.9139575467116,4114.5948626647605,2543.617786555494,3600.155734516066
0.98,-55.7744026184082,23.034135818481445,-17.433025360107422,9.381374636048609,0.20273520562729386,0.35871369739384457,-0.0653864142432694,3.364958374501376,0.1043971620907988,0.2855876091854174,0.0,2796.7645556209177,4114.772390288009,2543.4743818026946,3600.2744671848013
1.0,-55.59699630737305,22.972925186157227,-17.84409523010254,9.38151904977508,0.2027391617392215,0.358775027635752,-0.06550742752601876,3.3657599799488462,0.10441352554566502,0.28554428506747576,0.0,2796.6210646194104,4114.943576249565,2543.3360789060434,3600.3884773872724
1.02,-55.42002487182617,22.910438537597656,-18.2552547454834,9.381661341429824,0.20274638825143865,0.3588368944549684,-0.0656269821623559,3.366537640292124,0.1044300769010805,0.28550159757105276,0.0,2796.4821493017853,4115.109846517332,2543.20172621322,3600.498827452822
1.04,-55.24350357055664,22.846689224243164,-18.666507720947266,9.38180156176572,0.20275636873197447,0.3588993256422053,-0.06574530649747877,3.367296326906821,0.10444679364300548,0.28545953147028413,0.0,2796.346851967549,4115.2722093255,2543.070510894931,3600.6062808705096
1.06,-55.06745147705078,22.78166961669922,-19.077789306640625,9.381939756128528,0.2027686584425886,0.35896232527029914,-0.06586248805364657,3.3680394475222943,0.1044637158663921,0.28541807316144163,0.0,2796.2145083646383,4115.431348595161,2542.9418831561857,3600.7113688324757
1.08,-54.89186096191406,22.71538734436035,-19.489166259765625,9.382075957844043,0.2027829267230282,0.359025919382576,-0.06597897355439171,3.3687723366815834,0.10448081592160682,0.28537721264678717,0.0,2796.0841127935146,4115.588368219359,2542.8149485389713,3600.814888386297
1.1,-54.71674728393555,22.647844314575195,-19.900602340698242,9.382210198271634,0.20279887657700807,0.3590901085125691,-0.0660947347665747,3.3694966486649474,0.10449810656061155,0.28533694051850966,0.0,2795.955335049134,4115.743592540025,2542.6894479300563,3600.9171052451356
