solution,"Multibody depth
(suspension hardpoint)","Simplified VD
(autonomy domain)","Control ladder
(L1-L8 abstraction)",Open-core API,"External integration
(CARLA, Python, FMI)","Tire model fidelity
(MF, FTire, RMod-K)","Free / Open license
(inverse of price)"
Adams Car (MSC),5,1,1,0,2,5,0
VI-CarRealTime,5,2,3,0,3,4,0
CarMaker (IPG),2,5,3,0,3,5,1
CarSim (MS),2,5,3,0,3,4,1
Simulink VDB,1,4,3,1,5,3,2
VDSim (current PoC),1,5,5,5,4,3,5
VDSim (+ L4-L5 plan),4,5,5,5,5,4,5
