scenario,max_comp [mm],min_comp [mm],rng_FL [mm],rng_RR [mm]
step_steer,162.21966666666668,87.17266666666666,24.829666666666654,20.603333333333353
double_lane_change,180.43633333333335,71.934,86.26100000000001,71.88266666666667
throttle_brake_sequence,164.11133333333333,85.48700000000001,47.260333333333335,39.47000000000001
